Age,Gender,Where_live,AVG_Sleep_Per_Night,Regular_Bed_time,Exam_Night_Bed_Time,Holiday_Bed_Time,Regular_WakeUp_Time,Holiday_WakeUp_Time,Have_Regular_Bed_Time,Daytime_Nap,Struggle_to_Sleep,Sleep_Condition,Electronic_Devices_Before_Bed,Consume_Caffeine_Night,Dinnar_Time,Smoke,Sleep_Affecting_Drugs,Daily_Academics_Time_Spend,Main_Reason_for_Insufficient_Sleep,Rate_Sleep_Quality,Class_Attendance,Sleepiness_During_Class,Skip_Class_for_Sleep,Focus_on_Academic_Task,Impact_of_Sleep_on_Academic,Current_CGPA5,CGPA3_Class,Aware_of_Recomamended_Sleep,Use_Sleep_Tracking_Devices,Sacrifices_Sleep_for_Academics
21-25,Female,With family,>8h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,Never,Always,Insomnia,Yes,Yes,>9PM,No,No,<1h,Workload,Poor,Usually on time,Often,No,Always,Somewhat Negative,3.25-3.49,3.0-3.49,Yes,No,Yes
21-25,Male,In hostel,5-6h,12-1AM,10-11PM,10-11PM,6-8AM,After 8AM,No,3-4d,Always,N/A,Yes,No,7-9PM,Yes,No,<1h,Workload,Poor,Usually on time,Never,Yes,Sometimes,Somewhat Negative,3.0-3.24,3.0-3.49,Yes,No,Yes
21-25,Male,In hostel,<5h,After 1 AM,After 1 AM,After 1 AM,6-8AM,After 8AM,No,1-2d,Never,OSA,Yes,Yes,7-9PM,Yes,No,<1h,Social media,Good,Always on time,Never,Yes,Always,Very Positive,3.0-3.24,3.0-3.49,Yes,No,Yes
>25,Male,In hostel,7-8h,11PM-12AM,12-1AM,After 1 AM,6-8AM,After 8AM,No,Never,Never,N/A,Yes,No,7-9PM,No,No,1-2h,Social media,Good,Always on time,Never,No,Never,Somewhat Positive,3.0-3.24,3.0-3.49,Yes,No,Yes
21-25,Male,With family,5-6h,12-1AM,12-1AM,12-1AM,6-8AM,6-8AM,No,Never,Sometimes,N/A,Yes,No,>9PM,No,No,<1h,Workload,V.Good,Frequently late,Rarely,No,Sometimes,Somewhat Positive,3.0-3.24,3.0-3.49,No,No,Yes
21-25,Male,In hostel,7-8h,After 1 AM,12-1AM,After 1 AM,After 8AM,After 8AM,No,1-2d,Always,RLS,Yes,No,7-9PM,No,No,3-4h,Social media,Good,Usually on time,Often,Yes,Sometimes,Somewhat Positive,3.0-3.24,3.0-3.49,Yes,No,Yes
21-25,Male,In hostel,5-6h,After 1 AM,12-1AM,After 1 AM,6-8AM,6-8AM,No,≥5d,Rarely,N/A,Yes,No,7-9PM,No,No,2-3h,Social media,V.Good,Usually on time,Never,No,Always,Somewhat Positive,3.25-3.49,3.0-3.49,Yes,No,Yes
21-25,Male,In hostel,7-8h,After 1 AM,12-1AM,After 1 AM,After 8AM,After 8AM,No,Never,Often,Insomnia,Yes,No,7-9PM,No,No,3-4h,Other,Good,Always on time,Rarely,No,Always,Very Positive,3.75-4.0,3.5-4.0,Yes,No,Yes
21-25,Male,In hostel,<5h,After 1 AM,After 1 AM,After 1 AM,After 8AM,After 8AM,Yes,Never,Never,Insomnia,No,No,>9PM,Yes,No,3-4h,Stress,Poor,Always on time,Always,Yes,Always,Very Positive,3.5-3.74,3.5-4.0,Yes,No,Yes
21-25,Male,In hostel,5-6h,After 1 AM,12-1AM,After 1 AM,6-8AM,After 8AM,No,≥5d,Always,N/A,Yes,No,7-9PM,Yes,No,2-3h,Job,V.Good,Always on time,Rarely,No,Sometimes,No impact,3.25-3.49,3.0-3.49,Yes,No,No
16-20,Male,With family,<5h,Before 10PM,After 1 AM,After 1 AM,After 8AM,After 8AM,No,≥5d,Always,Insomnia,No,Yes,<7PM,Yes,Yes,<1h,Noise,Poor,Occasionally late,Rarely,Yes,Sometimes,Somewhat Positive,3.75-4.0,3.5-4.0,Yes,Yes,Yes
21-25,Male,With family,<5h,After 1 AM,After 1 AM,After 1 AM,6-8AM,After 8AM,No,Never,Rarely,N/A,Yes,Yes,>9PM,Yes,No,1-2h,Noise,V.Good,Always on time,Never,No,Always,Very Positive,3.0-3.24,3.0-3.49,Yes,No,No
